permno,ticker,comnam
10118,COHY,CONSOLIDATED HYDRO INC
10119,TWEN,20TH CENTURY INDUSTRIES CA
10119,TW,20TH CENTURY INDUSTRIES
10119,TW,20TH CENTURY INDUSTRIES
10119,TW,21ST CENTURY INSURANCE GROUP
10120,PIPR,PIPER JAFFRAY INC
10120,PJC,PIPER JAFFRAY INC
10120,PJC,PIPER JAFFRAY COS INC
10121,MCOR,MARINE CORP IL
10122,MSBK,MEDFORD SVGS BK MA
10122,REGB,REGIONAL BANCORP INC
10122,MDBK,MEDFORD SAVINGS BANK
10122,MDBK,MEDFORD BANCORP INC
10122,MDBK,MEDFORD BANCORP INC
10123,ACMI,ACKERLEY COMMUNICATIONS INC
10123,AK,ACKERLEY COMMUNICATIONS INC
10123,AK,ACKERLEY GROUP INC
10123,AK,ACKERLEY GROUP INC
10124,LERN,LEARNING TECHNOLOGY INC
10124,,LEARNING TECHNOLOGY INC
10124,LERN,LEARNING TECHNOLOGY INC
10125,DIVY,DISCOVERY ASSOCIATES INC
10125,LEOS,DISCOVERY ASSOCIATES INC
10125,LEOS,LEOS INDUSTRIES INC
10125,LEOS,LEOS INDUSTRIES INC
10125,LI,LEOS INDUSTRIES INC
10126,OVWV,ONE VALLEY BANCORP WEST VA INC
10126,OVWV,ONE VALLEY BANCORP INC
10126,OV,ONE VALLEY BANCORP INC
10127,PBFI,PARIS BUSINESS FORMS INC
10127,PBFI,PARIS BUSINESS FORMS INC
10128,LAMN,LA MAN CORP
10128,,LA MAN CORP
10128,LAMN,LA MAN CORP
10128,,LA MAN CORP
10128,LAMN,LA MAN CORP
10128,DTEK,DISPLAY TECHNOLOGIES INC
10129,,ALL AMER CABLES INC
10130,NFSL,NEWNAN FEDERAL S & L ASSN GA
10130,NFSL,NEWNAN FEDERAL S & L ASSN GA
10130,NFSL,NEWNAN SAVINGS BANK FSB
10130,NFSL,NEWNAN SAVINGS BANK FSB
10130,NFSL,NEWNAN HOLDINGS INC
10130,FSTC,FIRST CITIZENS CORP
10130,FSTC,FIRST CITIZENS CORP
10131,SBTC,S B T CORP CT
10132,NIBC,NATIONAL INDUSTRIAL BANCORP INC
10133,TELQ,TELEQUEST INC
10133,,TELEQUEST INC
10133,TELQ,TELEQUEST INC
10134,EGCB,EMPIRE GAS CORP NEW
10135,FARK,FIRST FEDERAL SVGS ARKANSAS FA
10135,FARK,FIRST FEDERAL SVGS ARKANSAS FA
10136,CABL,COMMUNICATION CABLE INC
